location,bhk,bathrooms,furnishing,property_type,rent
ayodhya bypass,3,3,Furnished,Independent House,15500
mp nagar,1,1,Furnished,Apartment,11000
chuna bhatti,1,1,Unfurnished,PG,5000
misrod,2,2,Furnished,Apartment,11500
chuna bhatti,3,3,Unfurnished,PG,11000
chuna bhatti,1,1,Unfurnished,Apartment,6000
mp nagar,3,2,Semi-Furnished,PG,13500
arera colony,3,3,Furnished,PG,16000
bawadiya kalan,3,2,Semi-Furnished,Apartment,12500
kolar road,3,1,Furnished,Apartment,13000
lalghati,3,3,Semi-Furnished,Independent House,14500
ayodhya bypass,3,2,Unfurnished,Independent House,11500
hoshangabad road,2,1,Furnished,Apartment,13000
shahpura,3,3,Unfurnished,PG,11000
kolar road,2,2,Unfurnished,PG,8000
hoshangabad road,2,2,Furnished,Apartment,14000
chuna bhatti,2,1,Unfurnished,PG,7000
chuna bhatti,2,1,Unfurnished,PG,7000
hoshangabad road,3,2,Semi-Furnished,PG,13500
ayodhya bypass,3,1,Furnished,PG,11500
arera colony,1,1,Semi-Furnished,PG,8500
lalghati,2,2,Furnished,PG,11000
bawadiya kalan,2,1,Unfurnished,Apartment,8000
chuna bhatti,1,1,Unfurnished,PG,5000
kolar road,1,1,Unfurnished,PG,5000
ayodhya bypass,2,2,Semi-Furnished,Independent House,11000
hoshangabad road,1,1,Unfurnished,PG,7000
shahpura,1,1,Unfurnished,PG,5000
arera colony,2,1,Unfurnished,PG,9000
bawadiya kalan,3,2,Unfurnished,Independent House,12000
kolar road,3,1,Furnished,PG,12000
shahpura,3,1,Furnished,PG,12000
bawadiya kalan,1,1,Unfurnished,Independent House,7000
hoshangabad road,3,3,Unfurnished,Apartment,14000
misrod,2,1,Unfurnished,Independent House,8500
ayodhya bypass,1,1,Furnished,PG,7500
misrod,1,1,Furnished,Apartment,8500
chuna bhatti,1,1,Semi-Furnished,PG,6500
mp nagar,3,1,Unfurnished,Independent House,13000
misrod,2,2,Unfurnished,Apartment,8500
kolar road,2,1,Semi-Furnished,PG,8500
hoshangabad road,1,1,Semi-Furnished,PG,8500
kolar road,1,1,Furnished,Independent House,10000
chuna bhatti,3,2,Semi-Furnished,PG,11500
ayodhya bypass,1,1,Unfurnished,Apartment,5500
bawadiya kalan,3,1,Furnished,Independent House,14000
arera colony,2,2,Furnished,Apartment,14000
kolar road,1,1,Semi-Furnished,Independent House,8500
arera colony,1,1,Semi-Furnished,PG,8500
kolar road,2,2,Semi-Furnished,PG,9500
mp nagar,2,1,Furnished,Independent House,14000
chuna bhatti,3,2,Unfurnished,PG,10000
kolar road,3,3,Semi-Furnished,Apartment,13500
chuna bhatti,1,1,Semi-Furnished,Apartment,7500
arera colony,2,2,Furnished,Independent House,15000
arera colony,1,1,Semi-Furnished,Independent House,10500
mp nagar,3,1,Semi-Furnished,PG,12500
arera colony,1,1,Unfurnished,PG,7000
lalghati,2,2,Furnished,Independent House,13000
misrod,3,1,Unfurnished,Apartment,9500
kolar road,1,1,Unfurnished,Independent House,7000
lalghati,1,1,Furnished,Independent House,10000
lalghati,2,1,Furnished,PG,10000
bawadiya kalan,3,2,Unfurnished,Apartment,11000
ayodhya bypass,2,2,Unfurnished,Independent House,9500
hoshangabad road,1,1,Unfurnished,Apartment,8000
arera colony,1,1,Furnished,Apartment,11000
bawadiya kalan,1,1,Semi-Furnished,Apartment,7500
lalghati,1,1,Unfurnished,PG,5000
arera colony,3,1,Semi-Furnished,Apartment,13500
kolar road,2,2,Semi-Furnished,PG,9500
bawadiya kalan,2,2,Semi-Furnished,PG,9500
ayodhya bypass,1,1,Semi-Furnished,Apartment,7000
mp nagar,3,1,Furnished,Apartment,15000
chuna bhatti,3,2,Furnished,PG,13000
kolar road,1,1,Semi-Furnished,PG,6500
misrod,3,2,Semi-Furnished,PG,11000
arera colony,2,2,Unfurnished,Independent House,12000
lalghati,3,1,Semi-Furnished,Apartment,11500
bawadiya kalan,3,1,Unfurnished,Apartment,10000
arera colony,2,2,Unfurnished,Independent House,12000
shahpura,1,1,Furnished,PG,8000
lalghati,3,2,Furnished,Independent House,15000
shahpura,3,2,Semi-Furnished,PG,11500
shahpura,2,2,Unfurnished,PG,8000
lalghati,1,1,Semi-Furnished,Apartment,7500
bawadiya kalan,2,2,Furnished,PG,11000
chuna bhatti,2,2,Furnished,Apartment,12000
ayodhya bypass,1,1,Unfurnished,Independent House,6500
mp nagar,1,1,Unfurnished,PG,7000
hoshangabad road,3,2,Unfurnished,PG,12000
kolar road,2,1,Furnished,Independent House,12000
mp nagar,3,2,Unfurnished,PG,12000
arera colony,1,1,Unfurnished,PG,7000
lalghati,3,3,Unfurnished,Independent House,13000
arera colony,3,2,Furnished,Independent House,17000
ayodhya bypass,1,1,Semi-Furnished,Independent House,8000
misrod,3,3,Furnished,PG,13500
shahpura,3,2,Furnished,PG,13000
arera colony,1,1,Unfurnished,Apartment,8000
ayodhya bypass,1,1,Furnished,Apartment,8500
arera colony,1,1,Unfurnished,Independent House,9000
hoshangabad road,2,2,Semi-Furnished,PG,11500
chuna bhatti,2,1,Semi-Furnished,PG,8500
bawadiya kalan,2,1,Unfurnished,PG,7000
ayodhya bypass,2,2,Furnished,Independent House,12500
lalghati,1,1,Furnished,PG,8000
hoshangabad road,1,1,Furnished,Apartment,11000
misrod,1,1,Furnished,Independent House,9500
shahpura,3,1,Furnished,PG,12000
arera colony,3,2,Semi-Furnished,Apartment,14500
hoshangabad road,3,1,Semi-Furnished,Apartment,13500
kolar road,2,1,Furnished,Apartment,11000
chuna bhatti,1,1,Semi-Furnished,Independent House,8500
shahpura,1,1,Semi-Furnished,Apartment,7500
bawadiya kalan,3,2,Furnished,Independent House,15000
kolar road,3,3,Unfurnished,PG,11000
arera colony,3,3,Furnished,PG,16000
lalghati,1,1,Furnished,Independent House,10000
kolar road,1,1,Unfurnished,Apartment,6000
misrod,3,2,Unfurnished,Independent House,11500
misrod,1,1,Unfurnished,Apartment,5500
chuna bhatti,1,1,Semi-Furnished,PG,6500
kolar road,1,1,Furnished,Apartment,9000
arera colony,3,3,Furnished,PG,16000
shahpura,2,2,Furnished,Apartment,12000
misrod,2,1,Furnished,PG,9500
lalghati,3,3,Unfurnished,Independent House,13000
chuna bhatti,1,1,Semi-Furnished,Independent House,8500
chuna bhatti,1,1,Semi-Furnished,Independent House,8500
bawadiya kalan,3,2,Unfurnished,Apartment,11000
lalghati,2,2,Unfurnished,Independent House,10000
arera colony,1,1,Furnished,Independent House,12000
ayodhya bypass,2,1,Semi-Furnished,PG,8000
arera colony,3,3,Furnished,Independent House,18000
misrod,2,2,Furnished,Apartment,11500
lalghati,3,2,Semi-Furnished,Apartment,12500
kolar road,1,1,Furnished,Apartment,9000
kolar road,1,1,Furnished,Apartment,9000
kolar road,2,1,Semi-Furnished,Independent House,10500
shahpura,1,1,Semi-Furnished,Independent House,8500
mp nagar,1,1,Unfurnished,PG,7000
shahpura,1,1,Unfurnished,Independent House,7000
chuna bhatti,2,2,Semi-Furnished,Independent House,11500
hoshangabad road,2,1,Semi-Furnished,Independent House,12500
chuna bhatti,2,2,Semi-Furnished,Apartment,10500
arera colony,1,1,Unfurnished,Independent House,9000
shahpura,3,1,Unfurnished,PG,9000
ayodhya bypass,2,2,Unfurnished,Independent House,9500
chuna bhatti,3,1,Semi-Furnished,PG,10500
hoshangabad road,2,1,Semi-Furnished,PG,10500
hoshangabad road,3,2,Semi-Furnished,Apartment,14500
ayodhya bypass,2,1,Furnished,Apartment,10500
ayodhya bypass,2,1,Unfurnished,PG,6500
ayodhya bypass,3,1,Unfurnished,PG,8500
arera colony,2,1,Semi-Furnished,PG,10500
chuna bhatti,3,1,Unfurnished,Apartment,10000
hoshangabad road,1,1,Unfurnished,PG,7000
lalghati,2,2,Semi-Furnished,PG,9500
kolar road,3,1,Furnished,Independent House,14000
mp nagar,3,1,Unfurnished,Apartment,12000
shahpura,3,3,Semi-Furnished,Apartment,13500
arera colony,1,1,Furnished,Independent House,12000
chuna bhatti,3,2,Unfurnished,PG,10000
bawadiya kalan,3,1,Unfurnished,Apartment,10000
ayodhya bypass,2,1,Furnished,Apartment,10500
lalghati,3,3,Unfurnished,Apartment,12000
arera colony,1,1,Furnished,Apartment,11000
lalghati,3,2,Unfurnished,Apartment,11000
misrod,1,1,Semi-Furnished,PG,6000
shahpura,1,1,Unfurnished,PG,5000
mp nagar,3,3,Semi-Furnished,Independent House,16500
chuna bhatti,2,2,Furnished,Independent House,13000
mp nagar,1,1,Unfurnished,Apartment,8000
bawadiya kalan,2,2,Semi-Furnished,PG,9500
chuna bhatti,3,1,Semi-Furnished,Independent House,12500
hoshangabad road,1,1,Semi-Furnished,Apartment,9500
shahpura,3,3,Unfurnished,PG,11000
shahpura,2,1,Semi-Furnished,Independent House,10500
chuna bhatti,2,1,Unfurnished,Independent House,9000
lalghati,1,1,Unfurnished,Apartment,6000
misrod,1,1,Semi-Furnished,Independent House,8000
bawadiya kalan,2,2,Unfurnished,PG,8000
chuna bhatti,1,1,Unfurnished,PG,5000
kolar road,3,1,Unfurnished,PG,9000
hoshangabad road,3,2,Unfurnished,PG,12000
kolar road,2,1,Unfurnished,Apartment,8000
shahpura,2,2,Unfurnished,Independent House,10000
bawadiya kalan,1,1,Furnished,Independent House,10000
kolar road,1,1,Semi-Furnished,PG,6500
misrod,2,2,Furnished,PG,10500
lalghati,1,1,Unfurnished,PG,5000
misrod,1,1,Semi-Furnished,PG,6000
misrod,3,2,Unfurnished,Apartment,10500
kolar road,1,1,Semi-Furnished,Independent House,8500
chuna bhatti,3,2,Unfurnished,PG,10000
chuna bhatti,2,1,Unfurnished,Apartment,8000
bawadiya kalan,1,1,Unfurnished,Apartment,6000
lalghati,3,2,Semi-Furnished,Independent House,13500
bawadiya kalan,2,2,Furnished,PG,11000
chuna bhatti,2,2,Unfurnished,Independent House,10000
kolar road,2,1,Furnished,PG,10000
lalghati,2,1,Semi-Furnished,Independent House,10500
ayodhya bypass,2,1,Unfurnished,Independent House,8500
mp nagar,3,3,Unfurnished,Independent House,15000
arera colony,1,1,Unfurnished,Independent House,9000
hoshangabad road,1,1,Unfurnished,PG,7000
mp nagar,1,1,Unfurnished,Independent House,9000
mp nagar,1,1,Furnished,Apartment,11000
kolar road,2,2,Furnished,Independent House,13000
lalghati,2,1,Unfurnished,Independent House,9000
lalghati,2,2,Semi-Furnished,Apartment,10500
ayodhya bypass,1,1,Semi-Furnished,PG,6000
mp nagar,2,2,Unfurnished,PG,10000
mp nagar,3,1,Furnished,Independent House,16000
shahpura,3,1,Furnished,Apartment,13000
mp nagar,1,1,Unfurnished,Apartment,8000
misrod,3,3,Semi-Furnished,Independent House,14000
arera colony,2,2,Unfurnished,PG,10000
shahpura,3,1,Unfurnished,PG,9000
mp nagar,2,1,Semi-Furnished,Independent House,12500
kolar road,3,2,Furnished,Apartment,14000
kolar road,2,2,Unfurnished,Apartment,9000
hoshangabad road,2,2,Semi-Furnished,Independent House,13500
ayodhya bypass,3,1,Semi-Furnished,Independent House,12000
kolar road,1,1,Furnished,Independent House,10000
shahpura,3,2,Furnished,PG,13000
chuna bhatti,3,3,Furnished,Apartment,15000
lalghati,1,1,Semi-Furnished,Independent House,8500
mp nagar,2,1,Unfurnished,Independent House,11000
kolar road,2,1,Furnished,PG,10000
bawadiya kalan,3,2,Furnished,Independent House,15000
misrod,1,1,Semi-Furnished,Independent House,8000
hoshangabad road,1,1,Unfurnished,PG,7000
mp nagar,3,2,Unfurnished,Independent House,14000
shahpura,1,1,Unfurnished,PG,5000
bawadiya kalan,3,2,Furnished,Apartment,14000
mp nagar,1,1,Furnished,Independent House,12000
arera colony,3,2,Furnished,Independent House,17000
misrod,2,1,Unfurnished,Apartment,7500
shahpura,3,2,Unfurnished,PG,10000
ayodhya bypass,1,1,Furnished,PG,7500
ayodhya bypass,3,2,Semi-Furnished,Independent House,13000
misrod,2,2,Unfurnished,Apartment,8500
hoshangabad road,3,2,Unfurnished,PG,12000
mp nagar,1,1,Unfurnished,Apartment,8000
hoshangabad road,1,1,Semi-Furnished,Apartment,9500
hoshangabad road,1,1,Unfurnished,Apartment,8000
mp nagar,3,2,Unfurnished,Independent House,14000
bawadiya kalan,1,1,Furnished,PG,8000
kolar road,1,1,Semi-Furnished,Independent House,8500
mp nagar,2,1,Furnished,Independent House,14000
kolar road,2,2,Furnished,Independent House,13000
hoshangabad road,2,2,Semi-Furnished,Apartment,12500
bawadiya kalan,2,1,Unfurnished,PG,7000
kolar road,3,2,Semi-Furnished,Independent House,13500
bawadiya kalan,3,3,Semi-Furnished,Apartment,13500
mp nagar,2,2,Furnished,PG,13000
chuna bhatti,1,1,Semi-Furnished,Apartment,7500
hoshangabad road,3,1,Semi-Furnished,PG,12500
ayodhya bypass,3,1,Unfurnished,Apartment,9500
arera colony,2,2,Furnished,Apartment,14000
chuna bhatti,1,1,Unfurnished,Independent House,7000
shahpura,3,3,Furnished,PG,14000
ayodhya bypass,3,3,Furnished,Independent House,15500
hoshangabad road,3,2,Unfurnished,Apartment,13000
arera colony,1,1,Unfurnished,PG,7000
lalghati,1,1,Unfurnished,Apartment,6000
chuna bhatti,2,2,Furnished,Apartment,12000
misrod,1,1,Unfurnished,Apartment,5500
ayodhya bypass,1,1,Semi-Furnished,Independent House,8000
shahpura,2,1,Unfurnished,Apartment,8000
ayodhya bypass,3,1,Unfurnished,Apartment,9500
bawadiya kalan,2,1,Semi-Furnished,Independent House,10500
bawadiya kalan,3,1,Furnished,PG,12000
misrod,2,2,Furnished,Apartment,11500
bawadiya kalan,1,1,Unfurnished,Apartment,6000
chuna bhatti,1,1,Furnished,Independent House,10000
misrod,1,1,Semi-Furnished,Apartment,7000
shahpura,1,1,Unfurnished,Independent House,7000
chuna bhatti,2,1,Semi-Furnished,Apartment,9500
lalghati,1,1,Unfurnished,PG,5000
bawadiya kalan,2,1,Semi-Furnished,PG,8500
kolar road,1,1,Unfurnished,Independent House,7000
arera colony,3,3,Semi-Furnished,Apartment,15500
shahpura,3,1,Furnished,Independent House,14000
ayodhya bypass,1,1,Furnished,Independent House,9500
chuna bhatti,3,3,Furnished,PG,14000
chuna bhatti,3,2,Unfurnished,PG,10000
ayodhya bypass,1,1,Furnished,Apartment,8500
lalghati,2,2,Semi-Furnished,Apartment,10500
ayodhya bypass,1,1,Unfurnished,Apartment,5500
ayodhya bypass,1,1,Unfurnished,Independent House,6500
bawadiya kalan,3,2,Furnished,Independent House,15000
kolar road,1,1,Semi-Furnished,Independent House,8500
hoshangabad road,1,1,Furnished,Apartment,11000
lalghati,2,2,Semi-Furnished,Independent House,11500
kolar road,3,2,Furnished,Apartment,14000
bawadiya kalan,3,3,Unfurnished,PG,11000
misrod,3,2,Semi-Furnished,Independent House,13000
misrod,2,2,Unfurnished,Apartment,8500
ayodhya bypass,3,3,Unfurnished,PG,10500
hoshangabad road,2,1,Furnished,Independent House,14000
hoshangabad road,3,1,Unfurnished,PG,11000
hoshangabad road,3,2,Unfurnished,Independent House,14000
misrod,2,2,Unfurnished,PG,7500
chuna bhatti,2,2,Unfurnished,Apartment,9000
bawadiya kalan,2,2,Furnished,Independent House,13000
hoshangabad road,2,1,Unfurnished,PG,9000
mp nagar,2,2,Furnished,Apartment,14000
lalghati,1,1,Semi-Furnished,Independent House,8500
arera colony,2,2,Unfurnished,Independent House,12000
ayodhya bypass,3,2,Furnished,Independent House,14500
chuna bhatti,1,1,Semi-Furnished,PG,6500
chuna bhatti,3,2,Semi-Furnished,PG,11500
mp nagar,2,2,Semi-Furnished,PG,11500
misrod,2,1,Furnished,Independent House,11500
lalghati,1,1,Furnished,Independent House,10000
mp nagar,3,3,Semi-Furnished,PG,14500
chuna bhatti,1,1,Semi-Furnished,Independent House,8500
kolar road,3,1,Unfurnished,Apartment,10000
mp nagar,2,2,Furnished,PG,13000
arera colony,3,3,Furnished,PG,16000
hoshangabad road,1,1,Unfurnished,Apartment,8000
chuna bhatti,2,1,Unfurnished,PG,7000
kolar road,3,1,Furnished,Independent House,14000
lalghati,1,1,Unfurnished,PG,5000
shahpura,1,1,Unfurnished,PG,5000
misrod,3,1,Semi-Furnished,Apartment,11000
shahpura,3,3,Furnished,Independent House,16000
chuna bhatti,3,2,Furnished,PG,13000
misrod,3,1,Semi-Furnished,Apartment,11000
lalghati,2,1,Semi-Furnished,PG,8500
chuna bhatti,1,1,Semi-Furnished,Independent House,8500
arera colony,2,2,Furnished,Apartment,14000
lalghati,3,1,Unfurnished,Apartment,10000
shahpura,3,2,Unfurnished,Independent House,12000
hoshangabad road,3,3,Furnished,Independent House,18000
bawadiya kalan,2,1,Unfurnished,Apartment,8000
ayodhya bypass,1,1,Unfurnished,Apartment,5500
misrod,2,2,Furnished,PG,10500
bawadiya kalan,2,2,Semi-Furnished,Independent House,11500
mp nagar,2,2,Unfurnished,Independent House,12000
kolar road,2,2,Unfurnished,Independent House,10000
mp nagar,1,1,Semi-Furnished,PG,8500
arera colony,2,2,Unfurnished,Apartment,11000
bawadiya kalan,3,2,Semi-Furnished,Apartment,12500
kolar road,3,3,Unfurnished,PG,11000
hoshangabad road,3,2,Unfurnished,Independent House,14000
lalghati,2,2,Unfurnished,Apartment,9000
hoshangabad road,2,1,Semi-Furnished,Apartment,11500
kolar road,1,1,Semi-Furnished,Apartment,7500
arera colony,3,1,Unfurnished,Apartment,12000
bawadiya kalan,1,1,Furnished,Apartment,9000
ayodhya bypass,1,1,Unfurnished,PG,4500
ayodhya bypass,1,1,Semi-Furnished,PG,6000
chuna bhatti,3,1,Furnished,PG,12000
arera colony,2,1,Unfurnished,Apartment,10000
lalghati,3,1,Semi-Furnished,PG,10500
shahpura,1,1,Unfurnished,Apartment,6000
arera colony,3,3,Unfurnished,Independent House,15000
misrod,3,3,Semi-Furnished,Independent House,14000
lalghati,2,2,Unfurnished,Independent House,10000
hoshangabad road,3,2,Unfurnished,Independent House,14000
shahpura,1,1,Furnished,Apartment,9000
shahpura,2,2,Furnished,Apartment,12000
bawadiya kalan,3,3,Unfurnished,Apartment,12000
misrod,1,1,Semi-Furnished,PG,6000
chuna bhatti,1,1,Unfurnished,PG,5000
arera colony,3,1,Semi-Furnished,Apartment,13500
bawadiya kalan,1,1,Furnished,PG,8000
shahpura,1,1,Unfurnished,Independent House,7000
kolar road,2,2,Furnished,Apartment,12000
shahpura,1,1,Semi-Furnished,PG,6500
mp nagar,1,1,Furnished,Independent House,12000
bawadiya kalan,2,2,Furnished,Independent House,13000
lalghati,1,1,Semi-Furnished,PG,6500
mp nagar,2,2,Semi-Furnished,Independent House,13500
ayodhya bypass,3,3,Furnished,Independent House,15500
mp nagar,1,1,Unfurnished,Independent House,9000
shahpura,3,1,Furnished,Independent House,14000
misrod,3,3,Furnished,PG,13500
lalghati,3,3,Furnished,PG,14000
arera colony,1,1,Furnished,PG,10000
mp nagar,3,2,Unfurnished,PG,12000
arera colony,1,1,Furnished,Apartment,11000
arera colony,2,2,Unfurnished,Independent House,12000
hoshangabad road,1,1,Furnished,PG,10000
ayodhya bypass,1,1,Furnished,PG,7500
arera colony,1,1,Furnished,Independent House,12000
chuna bhatti,2,2,Unfurnished,PG,8000
hoshangabad road,3,1,Furnished,PG,14000
misrod,2,2,Unfurnished,Independent House,9500
chuna bhatti,2,2,Semi-Furnished,PG,9500
shahpura,1,1,Unfurnished,PG,5000
lalghati,1,1,Unfurnished,PG,5000
shahpura,3,1,Unfurnished,Apartment,10000
arera colony,1,1,Unfurnished,Independent House,9000
shahpura,1,1,Semi-Furnished,Independent House,8500
chuna bhatti,1,1,Unfurnished,Apartment,6000
arera colony,1,1,Furnished,Independent House,12000
arera colony,2,2,Furnished,Independent House,15000
arera colony,2,1,Semi-Furnished,PG,10500
ayodhya bypass,3,1,Furnished,PG,11500
ayodhya bypass,1,1,Furnished,Independent House,9500
mp nagar,2,2,Unfurnished,PG,10000
hoshangabad road,3,2,Unfurnished,Apartment,13000
arera colony,1,1,Furnished,PG,10000
arera colony,3,3,Semi-Furnished,Independent House,16500
kolar road,3,1,Unfurnished,Apartment,10000
ayodhya bypass,2,2,Furnished,PG,10500
ayodhya bypass,3,3,Unfurnished,Apartment,11500
lalghati,1,1,Semi-Furnished,PG,6500
ayodhya bypass,2,2,Semi-Furnished,Independent House,11000
hoshangabad road,1,1,Unfurnished,PG,7000
arera colony,2,1,Semi-Furnished,Apartment,11500
chuna bhatti,3,2,Semi-Furnished,PG,11500
bawadiya kalan,3,1,Furnished,PG,12000
shahpura,3,2,Furnished,PG,13000
arera colony,1,1,Semi-Furnished,Apartment,9500
chuna bhatti,2,2,Semi-Furnished,PG,9500
ayodhya bypass,3,2,Unfurnished,Apartment,10500
arera colony,3,1,Furnished,Apartment,15000
ayodhya bypass,2,2,Unfurnished,PG,7500
kolar road,2,1,Semi-Furnished,Independent House,10500
misrod,3,2,Furnished,PG,12500
arera colony,2,2,Unfurnished,Apartment,11000
lalghati,1,1,Unfurnished,PG,5000
misrod,3,3,Furnished,Independent House,15500
kolar road,2,2,Semi-Furnished,PG,9500
shahpura,2,2,Semi-Furnished,Independent House,11500
arera colony,2,2,Semi-Furnished,Independent House,13500
arera colony,3,2,Semi-Furnished,Independent House,15500
shahpura,1,1,Unfurnished,Independent House,7000
ayodhya bypass,1,1,Semi-Furnished,Apartment,7000
hoshangabad road,1,1,Unfurnished,PG,7000
ayodhya bypass,2,2,Semi-Furnished,Apartment,10000
arera colony,3,2,Unfurnished,PG,12000
hoshangabad road,2,1,Furnished,PG,12000
misrod,1,1,Semi-Furnished,Independent House,8000
mp nagar,2,2,Unfurnished,Independent House,12000
arera colony,3,2,Unfurnished,Independent House,14000
ayodhya bypass,3,3,Unfurnished,Apartment,11500
chuna bhatti,3,3,Unfurnished,Independent House,13000
chuna bhatti,2,2,Unfurnished,PG,8000
chuna bhatti,3,1,Unfurnished,PG,9000
chuna bhatti,2,2,Furnished,PG,11000
chuna bhatti,3,1,Semi-Furnished,Apartment,11500
lalghati,2,2,Semi-Furnished,Independent House,11500
bawadiya kalan,2,1,Semi-Furnished,Independent House,10500
chuna bhatti,3,2,Semi-Furnished,Independent House,13500
ayodhya bypass,2,2,Semi-Furnished,PG,9000
kolar road,2,2,Semi-Furnished,Independent House,11500
hoshangabad road,3,2,Unfurnished,Apartment,13000
misrod,3,3,Furnished,Independent House,15500
misrod,1,1,Furnished,Independent House,9500
hoshangabad road,1,1,Furnished,PG,10000
arera colony,2,2,Semi-Furnished,Apartment,12500
misrod,1,1,Furnished,Apartment,8500
bawadiya kalan,2,1,Semi-Furnished,Apartment,9500
ayodhya bypass,3,2,Furnished,PG,12500
arera colony,3,1,Semi-Furnished,PG,12500
mp nagar,3,1,Unfurnished,PG,11000
lalghati,1,1,Unfurnished,Independent House,7000
mp nagar,3,1,Furnished,Independent House,16000
hoshangabad road,1,1,Unfurnished,Independent House,9000
bawadiya kalan,3,3,Semi-Furnished,PG,12500
hoshangabad road,3,2,Furnished,PG,15000
mp nagar,3,2,Unfurnished,PG,12000
arera colony,3,1,Unfurnished,PG,11000
misrod,1,1,Unfurnished,Independent House,6500
bawadiya kalan,2,1,Semi-Furnished,PG,8500
ayodhya bypass,2,2,Unfurnished,PG,7500
misrod,1,1,Furnished,Apartment,8500
misrod,3,3,Semi-Furnished,Apartment,13000
arera colony,2,2,Semi-Furnished,PG,11500
bawadiya kalan,2,1,Unfurnished,Independent House,9000
lalghati,2,1,Unfurnished,Apartment,8000
hoshangabad road,1,1,Unfurnished,PG,7000
chuna bhatti,1,1,Semi-Furnished,PG,6500
mp nagar,1,1,Furnished,PG,10000
shahpura,3,3,Semi-Furnished,PG,12500
ayodhya bypass,1,1,Furnished,Independent House,9500
misrod,1,1,Unfurnished,PG,4500
lalghati,1,1,Furnished,Apartment,9000
lalghati,3,1,Furnished,PG,12000
mp nagar,3,2,Semi-Furnished,Independent House,15500
lalghati,1,1,Furnished,Independent House,10000
misrod,2,2,Unfurnished,Apartment,8500
arera colony,1,1,Furnished,Apartment,11000
bawadiya kalan,3,2,Semi-Furnished,PG,11500
arera colony,2,1,Semi-Furnished,Independent House,12500
shahpura,1,1,Semi-Furnished,Apartment,7500
kolar road,1,1,Semi-Furnished,PG,6500
hoshangabad road,3,1,Semi-Furnished,PG,12500
shahpura,2,2,Unfurnished,PG,8000
bawadiya kalan,3,2,Furnished,Apartment,14000
arera colony,2,2,Unfurnished,PG,10000
shahpura,2,1,Semi-Furnished,PG,8500
hoshangabad road,2,2,Unfurnished,Independent House,12000
mp nagar,3,2,Semi-Furnished,Apartment,14500
hoshangabad road,3,3,Unfurnished,PG,13000
arera colony,1,1,Unfurnished,Independent House,9000
shahpura,1,1,Semi-Furnished,Independent House,8500
arera colony,2,2,Semi-Furnished,PG,11500
mp nagar,2,2,Semi-Furnished,PG,11500
ayodhya bypass,1,1,Unfurnished,Apartment,5500
misrod,3,3,Semi-Furnished,Apartment,13000
shahpura,1,1,Unfurnished,Apartment,6000
shahpura,2,1,Furnished,PG,10000
misrod,3,1,Semi-Furnished,PG,10000
bawadiya kalan,3,1,Semi-Furnished,Independent House,12500
misrod,3,1,Furnished,Independent House,13500
ayodhya bypass,1,1,Unfurnished,Apartment,5500
misrod,3,1,Semi-Furnished,Apartment,11000
ayodhya bypass,3,3,Furnished,Independent House,15500
misrod,1,1,Furnished,PG,7500
bawadiya kalan,3,1,Unfurnished,Apartment,10000
mp nagar,3,3,Unfurnished,Apartment,14000
misrod,2,2,Unfurnished,Apartment,8500
shahpura,1,1,Furnished,PG,8000
misrod,3,2,Unfurnished,PG,9500
arera colony,2,1,Semi-Furnished,Apartment,11500
shahpura,3,3,Semi-Furnished,Independent House,14500
bawadiya kalan,3,3,Unfurnished,PG,11000
mp nagar,1,1,Semi-Furnished,Apartment,9500
chuna bhatti,1,1,Furnished,Apartment,9000
misrod,1,1,Semi-Furnished,Independent House,8000
hoshangabad road,2,2,Unfurnished,PG,10000
hoshangabad road,2,2,Unfurnished,Independent House,12000
mp nagar,3,2,Furnished,Independent House,17000
hoshangabad road,1,1,Unfurnished,Independent House,9000
bawadiya kalan,1,1,Semi-Furnished,Independent House,8500
ayodhya bypass,3,3,Semi-Furnished,Independent House,14000
chuna bhatti,3,3,Furnished,PG,14000
bawadiya kalan,2,2,Furnished,Independent House,13000
bawadiya kalan,3,1,Furnished,PG,12000
arera colony,1,1,Furnished,Apartment,11000
chuna bhatti,3,2,Furnished,Independent House,15000
ayodhya bypass,2,1,Furnished,Independent House,11500
mp nagar,1,1,Unfurnished,PG,7000
hoshangabad road,1,1,Unfurnished,Apartment,8000
misrod,3,2,Semi-Furnished,PG,11000
hoshangabad road,2,1,Semi-Furnished,Apartment,11500
shahpura,3,1,Furnished,Apartment,13000
chuna bhatti,2,1,Furnished,Independent House,12000
mp nagar,1,1,Semi-Furnished,PG,8500
kolar road,1,1,Semi-Furnished,Independent House,8500
shahpura,1,1,Semi-Furnished,PG,6500
shahpura,2,2,Furnished,Apartment,12000
ayodhya bypass,2,1,Unfurnished,Apartment,7500
chuna bhatti,3,1,Unfurnished,Independent House,11000
arera colony,3,2,Semi-Furnished,PG,13500
arera colony,3,3,Furnished,PG,16000
ayodhya bypass,2,1,Semi-Furnished,Independent House,10000
chuna bhatti,2,2,Furnished,PG,11000
shahpura,1,1,Semi-Furnished,PG,6500
shahpura,1,1,Unfurnished,PG,5000
hoshangabad road,2,1,Semi-Furnished,Independent House,12500
ayodhya bypass,3,1,Furnished,Apartment,12500
bawadiya kalan,2,2,Furnished,PG,11000
kolar road,1,1,Unfurnished,Apartment,6000
chuna bhatti,2,2,Furnished,PG,11000
misrod,1,1,Furnished,PG,7500
arera colony,1,1,Unfurnished,PG,7000
chuna bhatti,2,2,Semi-Furnished,PG,9500
